Unique Track Name,Unique URL,Mode,Mode Capitalized,Tempo,Time Signature
Maybe,https://open.spotify.com/embed/track/7sljA9XJXVCbbXLK5XpDtu,major,Major,91.763,4/4
Happy 4 U,https://open.spotify.com/embed/track/00OIc0La1fUi1jQ0fjJvYZ,major,Major,133.51,4/4
Early Morning Rain,https://open.spotify.com/embed/track/4GV5wmFd0G5NW8lQK9aVvP,major,Major,98.095,4/4
She Loves You ,https://open.spotify.com/embed/track/6nEkxYIEnrbYH7h1hJ8Xn6,minor,Minor,75.533,4/4
Eddy's Song,https://open.spotify.com/embed/track/0a9hOfhjo8xOzSsbnCrikz,major,Major,130.881,4/4
Eddy's Song,https://open.spotify.com/embed/track/0a9hOfhjo8xOzSsbnCrikz,major,Major,130.881,4/4
Eddy's Song,https://open.spotify.com/embed/track/0a9hOfhjo8xOzSsbnCrikz,major,Major,130.89,4/4
Harvest Moon,https://open.spotify.com/embed/track/2nekCvC9XRXQckWNnkIp2l,major,Major,112.938,4/4
Harvest Moon,https://open.spotify.com/embed/track/2nekCvC9XRXQckWNnkIp2l,major,Major,112.929,4/4
Don't Let Me Down ,https://open.spotify.com/embed/track/5BhMoGrz5KzG2fA5uzHjZ1,major,Major,163.63,4/4
Nothing's Gonna Hurt You Baby,https://open.spotify.com/embed/track/64m76xtJ3QHVrajSkMMzAo,major,Major,96.818,4/4
Nothing's Gonna Hurt You Baby,https://open.spotify.com/embed/track/64m76xtJ3QHVrajSkMMzAo,major,Major,96.849,4/4
Lovers Rock,https://open.spotify.com/embed/track/1H7zdcRD0gLGQY0w5ejGgX,minor,Minor,104.97,4/4
Lovers Rock,https://open.spotify.com/embed/track/1H7zdcRD0gLGQY0w5ejGgX,minor,Minor,104.976,4/4
Albatross,https://open.spotify.com/embed/track/3iZ5twPwvFeOUQA4Deu8tP,minor,Minor,203.341,3/4
Albatross,https://open.spotify.com/embed/track/3iZ5twPwvFeOUQA4Deu8tP,minor,Minor,67.168,4/4
